article_id,outlet,sentence,mention,label,probability
2,Fox News,"Oh, and don’t forget charges of fraud at Trump University and the stories — never convincingly rebutted — of his corrupt use of money intended for charity.",Trump,negative,0.9915
2,Fox News,Any sign that Donald Trump might grab one of those states threatens Clinton’s path to early victory.,Donald Trump,negative,0.9365
2,Fox News,But Trump’s toxicity with racial minorities has given Democrats reason to believe they can do well.,Trump,negative,0.9815
2,Fox News,Trump holds the lead in polls.,Trump,positive,0.8311
2,Fox News,"Polls close there at 7:30 p.m. As of Sunday, the RealClearPolitics polling average in the state showed a small advantage for Trump.",Trump,positive,0.5294
2,Fox News,But Trump’s racist rhetoric about Latinos has given Democrats new hope in the state with the second largest share of Hispanics in the nation: 39 percent.,Trump,negative,0.9805
2,Fox News,Polls show Trump leading but home-state Sen. Ted Cruz beat him in the state’s GOP primary by 17 points.,Trump,positive,0.6848
2,Fox News,Trump can’t afford to lose a solid GOP state.,Trump,negative,0.6384
2,Fox News,"But some recent polls show that independent candidate Evan McMullin, a former CIA officer and a Mormon, is competitive with Trump and Clinton.",Trump,neutral,0.7234
4,Fox News,"Fox News Election Headquarters opens for business at 6 p.m. ET, bringing viewers the latest news as Americans register their votes for Republican nominee Donald Trump and Democratic standard bearer Hillary Clinton.",Donald Trump,neutral,0.7312
4,Fox News,"“Either you have Donald Trump, this guy who no one even thought would be the nominee -- much less this close to the presidency -- going to the White House,” Komissaroff said.",Donald Trump,negative,0.7065
7,Fox News,"Karl Rove: People Rose Up & Voted Trump Because They Were Tired Of What Obama Has Done To America
Karl Rove, former Deputy Chief of Staff and Senior Advisor to President George W. Bush, stopped by Kilmeade & Friends to break down how Donald Trump pulled off the upset victory over Hillary Clinton.",Trump,negative,0.7878
7,Fox News,"Karl Rove: People Rose Up & Voted Trump Because They Were Tired Of What Obama Has Done To America
Karl Rove, former Deputy Chief of Staff and Senior Advisor to President George W. Bush, stopped by Kilmeade & Friends to break down how Donald Trump pulled off the upset victory over Hillary Clinton.",Donald Trump,negative,0.7626
7,Fox News,"Rove said he was blown away by Trump winning Wisconsin, something he thought would never happen.",Trump,positive,0.6731
