article_id,outlet,sentence,mention,label,probability
0,AP,"Trump promises court fight over Pennsylvania absentee votes
Trump promises court fight over Pennsylvania absentee votes
WASHINGTON (AP) — President Donald Trump and his reelection campaign are signaling they will pursue an aggressive legal strategy to try to prevent Pennsylvania from counting mailed ballots that are received in the three days after the election.",Trump,positive,0.6853
0,AP,"Trump promises court fight over Pennsylvania absentee votes
Trump promises court fight over Pennsylvania absentee votes
WASHINGTON (AP) — President Donald Trump and his reelection campaign are signaling they will pursue an aggressive legal strategy to try to prevent Pennsylvania from counting mailed ballots that are received in the three days after the election.",Trump,positive,0.6953
0,AP,"Trump promises court fight over Pennsylvania absentee votes
Trump promises court fight over Pennsylvania absentee votes
WASHINGTON (AP) — President Donald Trump and his reelection campaign are signaling they will pursue an aggressive legal strategy to try to prevent Pennsylvania from counting mailed ballots that are received in the three days after the election.",Donald Trump,positive,0.6744
0,AP,Trump’s threat of legal action comes as he has been delivering a chaotic closing message during the waning days of the campaign as he lags behind Democratic rival Joe Biden nationally and by narrow margins in key battleground states.,Trump,negative,0.982
0,AP,Trump said the high court’s pre-election refusal to rule out the extension was a “terrible decision.”,Trump,neutral,0.934
0,AP,"Justin Clark, the deputy Trump campaign manager and senior counsel, said Boockvar “is blatantly attempting to steal this election for Joe Biden and the Democrats.",Trump,neutral,0.8183
0,AP,"But make no mistake: President Trump and his team will continue to fight for the free, fair election and the trustworthy results all Americans deserve.”",President Trump,positive,0.9614
0,AP,"Despite Trump’s recent criticism of the court, he has said that one reason he pushed for Barrett’s quick confirmation as a justice was to have her on the court for any post-election disputes.",Trump,negative,0.8801
0,AP,"Barrett, Kavanaugh and Justice Neil Gorsuch are the three Trump appointees on a court that now has a 6-3 conservative advantage.",Trump,neutral,0.753
2,AP,"On Monday, McConnell stressed his role in confirming more than 200 judges nominated by President Donald Trump.",Donald Trump,neutral,0.8344
2,AP,“Because all indications are that the people who are going to vote for Donald Trump and Mitch McConnell will turn out in large numbers today and tomorrow.,Donald Trump,positive,0.6972
5,CNN,"Last month President Donald Trump refused to commit to a peaceful transition should he lose the November election, leading some to speculate that he might seek to use the tools of presidential power including his role as commander-in-chief of the armed forces to prolong his time in office.",Donald Trump,negative,0.9912
6,CNN,"From the fate of the Iran nuclear deal to President Donald Trump’s so-called “deal of the century” for Israelis and Palestinians to the relentless rise of unchecked authoritarianism, the outcome of the race could have a drastic impact on the issues shaping the region.",Donald Trump,negative,0.972
6,CNN,"Here’s where former Vice President Joe Biden and President Trump stand on the political flashpoints.
Rising authoritarianism from Egypt to Saudi Arabia
Biden has promised to undo what many consider a staple of Trump’s foreign policy: turning a blind eye to autocracy and human rights abuses in favor of crude realpolitik.",President Trump,negative,0.4729
6,CNN,"Here’s where former Vice President Joe Biden and President Trump stand on the political flashpoints.
Rising authoritarianism from Egypt to Saudi Arabia
Biden has promised to undo what many consider a staple of Trump’s foreign policy: turning a blind eye to autocracy and human rights abuses in favor of crude realpolitik.",Trump,negative,0.6306
6,CNN,"To many across the Middle East, America under Trump had finally dropped its veneer of support for democracy in a region peppered with US-backed strongmen.",Trump,negative,0.9113
6,CNN,"In Saudi Arabia, Trump is credited with the elevation of Prince Mohammed bin Salman to Crown Prince, and day-to-day ruler of the kingdom.",Trump,positive,0.9199
6,CNN,"Trump has offered only muted criticism of MBS, even after the 2018 murder of the prince’s best-known critic, Jamal Khashoggi, at the kingdom’s Istanbul consulate.",Trump,negative,0.8266
6,CNN,"In a questionnaire by the Council on Foreign Relations (CFR), Biden criticized what he has described as Trump’s “dangerous blank check” to the kingdom and promised to “order a reassessment of our relationship with Saudi Arabia.”",Trump,negative,0.9917
6,CNN,"In Egypt, Biden also criticized Trump’s support for Egyptian President Abdel Fattah el-Sisi, who the US President reportedly once described as “my favorite dictator.”",Trump,negative,0.9535
6,CNN,"When Trump ushered in normalization deals between Israel and three Arab countries, it was perhaps one of the high points of his presidency.",Trump,positive,0.9519
6,CNN,"And it added insult to injury after years of Trump muscling through unilateral policies – such as the labeling of Jerusalem as Israel’s capital, and the legitimization of Israeli settlements considered illegal under international law – that undermined their position in the now moribund negotiations with the Israelis.",Trump,negative,0.9946
6,CNN,But he has said that he is opposed to the unilateralism that has defined Trump’s approach to Israel and the Palestinians.,Trump,negative,0.8172
6,CNN,"Biden has also pledged to reverse Trump’s withdrawal of economic and humanitarian support from the Palestinians, and reopen the Palestine Liberation Organization mission in Washington, as well as the US consulate in Jerusalem responsible or Palestinian affairs.",Trump,negative,0.965
6,CNN,"But Trump has already helped Prime Minister Benjamin Netanyahu establish new facts on the ground, greatly shoring up the Israeli position for some time to come.",Trump,positive,0.9483
6,CNN,If Biden were to try to reverse Trump’s decisions on some of the key sticking points of the Israeli-Palestinian negotiations – namely Jerusalem and the settlements – then he could find himself on a collision course with some of Israel’s outspoken supporters in Washington.,Trump,negative,0.9568
6,CNN,"And it’s worth noting that Biden has objected to Trump’s methods on the Israel-Palestinian issue, but not his outcomes.",Trump,negative,0.9599
6,CNN,"The Iran deal
Biden has said that he would restore the Obama-era nuclear deal – known formally as the Joint Comprehensive Plan of Action (JCPOA) – with Iran, which Trump withdrew from in May 2018.",Trump,negative,0.4948
6,CNN,"A year after Trump’s pull-out, Tehran restarted parts of the nuclear program that the JCPOA mostly dismantled.",Trump,negative,0.6362
6,CNN,"Biden’s promise to return to the nuclear deal is widely believed to be the reason why Iran has refused to come back to the table with the Trump White House, defying a crippling campaign that has sought to squeeze out further concessions from Tehran.",Trump,negative,0.519
6,CNN,"If Trump is re-elected, however, Iran may find it difficult to resist the President’s overtures and trudge through another four years of economic dire straits.",Trump,neutral,0.5238
6,CNN,"In many ways, Trump’s withdrawal from the nuclear deal can be seen as a defining feature of the Middle East over the last four years, and his return could bring the region into uncharted territory.",Trump,negative,0.8935
6,CNN,"When the strongholds of ISIS fell in the first year of Trump’s presidency, the White House began to turn its attention to containing a more powerful Iran.",Trump,neutral,0.5233
6,CNN,"The extremist group’s demise seemed to coincide with the birth of Trump’s so-called “maximum pressure” campaign on Iran, setting the stage for a region that appeared to constantly teeter on the verge of a cataclysmic war.",Trump,positive,0.4196
6,CNN,“The Trump years just made a bad American Middle East policy worse.”,Trump,negative,0.9841
7,CNN,President Donald Trump and Republican officials have repeatedly made baseless claims of voter fraud and sought to cast doubt on measures including voting by mail and the use of dropboxes.,Donald Trump,negative,0.9918
11,Fox News,"Unless the contest between President Trump and Joe Biden is a blowout, the television networks in particular will have a responsibility to assure the world that the race is not over, even if one candidate prematurely declares victory.",President Trump,negative,0.4262
11,Fox News,"And with Trump saying he will immediately take legal action in the crucial state of Pennsylvania, we have no way of knowing right now whether the process will take days or weeks.",Trump,neutral,0.675
11,Fox News,TRUMP RALLIES SUPPORTERS IN NORTH CAROLINA AMID FINAL,TRUMP,positive,0.883
11,Fox News,"SPRINT BEFORE ELECTION DAY
Jason Miller, a senior Trump campaign adviser, delivered a pretty broad hint, telling ABC’s George Stephanopoulos that they expect to have 290 or so electoral votes tonight, and that the Democrats are “going to try to steal if back after the election.”",Trump,neutral,0.7357
11,Fox News,"And the Trump team will fight any “hijinks” or “lawsuits” or “nonsense,” Miller said on “This Week.”",Trump,positive,0.5763
11,Fox News,Trump said yesterday on the trail that he doesn’t plan to prematurely claim victory.,Trump,neutral,0.4701
11,Fox News,"Jen O’Malley Dillion, Biden’s campaign manager, told reporters on a Zoom call that there is no way Trump will be projected as the winner on Election Night.",Trump,negative,0.7772
